WinRate,ImbVolume,ImbRatio,AdvDetection,PATIMachineLearningInputsV2-P1-BollingerDiff,PATIMachineLearningInputsV2-P1-MovingAvgDiff,PATIMachineLearningInputsV2-P1-VolumeSpeedPerSecond,PATIMachineLearningInputsV2-P1-StdDevBB,PATIMachineLearningInputsV2-P1-TimeOfDay,ReverseStrength-P2-ReverseStrengthLine,ReverseStrength-P3-ReverseStrengthLine
0.65,29,1.49,59,7.04,6.06,4.1,4.02,104624.1,5521.05,5527.6
0.65,33,1.49,67,6.9,5.9,27.03,2.75,123747.03,5529.6,5537.37
0.65,33,1.49,68,10.02,8.3,38.07,3,124103.07,5380.39,5388.7
0.65,35,1.49,72,7.5,1.02,4.8,3.05,103057.8,5567.08,5579.03
0.65,39,1.49,79,8.3,1.55,133.04,2.5,133226.04,5396.2,5403.97
0.65,110,1.49,223,3.3,2.2,11.06,2.9,201656.06,5683,5686.03
0.65,31,1.5,62,4,2.03,23.01,2.54,162410.01,5581.77,5586.28
0.65,37,1.5,74,12.08,9,4.05,4.4,51313.05,5456.9,5466.07
0.65,39,1.5,78,4.08,3.15,222.02,4.75,151303.02,5592.02,5598.36
0.65,48,1.5,96,5.09,2.4,83.04,1.1,180035.04,5463.17,5468.17
0.65,56,1.5,111,3.7,2.3,36.03,1.34,182929.03,5642.88,5648.46
0.65,35,1.51,69,5.54,4.45,4.02,1.45,113007.02,5522,5527.68
0.65,35,1.51,68,12.1,4.05,5.8,3.6,55223.8,5434.06,5445.09
0.65,36,1.51,71,21.4,5.6,3.08,7.02,230204.08,5569.9,5583.09
0.65,39,1.51,76,5.42,2.12,57.01,1.44,180534.01,5551.62,5558.47
0.65,40,1.51,78,4.87,2.94,56.02,0.88,154153.02,5556.04,5559.6
0.65,25,1.52,48,18.06,8.08,15.5,4.6,74706.5,5576.03,5590.1
0.65,26,1.52,50,5.15,0.6,89.03,1.55,193013.03,5610.58,5616.01
0.65,34,1.52,66,7.9,5.65,5.03,1.47,110908.03,5575.46,5582.4
0.65,40,1.52,77,5.25,2.73,43.02,1.58,181452.02,5466.93,5472
0.65,42,1.52,80,7.4,4.4,3.02,2.49,101244.02,5554.73,5561.64
0.65,43,1.52,82,3.05,3.7,3.09,1.9,220950.09,5479.06,5484.09
0.65,44,1.52,84,14.06,3.8,53.07,2.9,202339.07,5459.4,5469.9
0.65,48,1.52,92,4.29,0.39,3.08,1.2,72913.08,5588.02,5594.01
0.65,67,1.52,130,9.09,8.06,1.9,17.01,11542.9,5577.09,5587.08
0.65,71,1.52,136,10,5.3,125.06,2.6,195424.06,5454.5,5461.67
0.65,25,1.53,47,10.01,2.9,1.08,1.7,232913.08,5626.02,5632.4
0.65,40,1.53,76,3.08,4,3.3,2.02,220950.3,5479.09,5484.3
0.65,52,1.53,98,13.04,11.06,3.4,7.9,52219.4,5568.01,5577.01
0.65,52,1.53,99,4.73,1.09,57.02,2.37,150845.02,5556.89,5561.83
0.65,35,1.54,65,8.57,1.87,34.03,1.38,180637.03,5463.06,5469.3
0.65,35,1.54,65,15.2,12.7,5.03,6.1,23461.03,5478.3,5490.7
0.65,44,1.54,81,5.94,5.43,130.02,2.4,195223.02,5456.45,5463.56
0.65,48,1.54,89,6.58,3.96,7.02,1.35,115702.02,5522.3,5527.79
0.65,50,1.54,93,4.9,2.06,7.08,1.03,201943.08,5497.01,5501.8
0.65,29,1.55,53,6.03,2.89,2.07,2.7,12044.07,5613.01,5617.78
0.65,38,1.55,69,13.8,6.04,2.5,7,40630.5,5482.05,5493.07
0.65,27,1.56,48,11.6,4.9,65.06,2.79,132521.06,5404.5,5413.57
0.65,30,1.56,54,11.1,5.09,2.8,4.6,233244.8,5501.3,5511.01
0.65,52,1.56,93,3.18,5.3,56.03,2.44,144450.03,5602.34,5606.1
0.65,26,1.57,46,10.34,2.09,72.03,1.9,194205.03,5467.4,5473.26
0.65,27,1.57,47,13.36,1.1,101.03,2.8,140438.03,5586.6,5593.68
0.65,43,1.57,76,3.08,1.07,2.2,1.5,100412.2,5616.04,5621.01
0.65,29,1.58,50,3.09,1,1.6,2,53954.6,5588.06,5593.03
0.65,39,1.58,67,10.8,7.1,11.06,1.5,84312.06,5553.18,5561.4
0.65,27,1.59,46,4.65,0.58,49.01,2.02,185349.01,5355.9,5363.76
0.65,30,1.59,51,7.49,1.1,47.04,4.19,200927.04,5599.16,5607.7
0.65,36,1.6,60,12.04,7.69,7.08,2,82240.08,5468.05,5477.7
0.65,37,1.6,62,9,6.6,3.09,7.02,223531.09,5458.03,5472.03
0.65,48,1.6,80,4.29,4.09,53.01,2.39,143757.01,5593.7,5599.13
0.65,25,1.61,41,10.26,2.48,4.04,5.7,21402.04,5450.09,5463.76
0.65,27,1.61,44,9.02,4.5,3.6,2.08,10700.6,5482.09,5489.9
0.65,39,1.61,64,4.84,0.4,3.02,0.8,203905.02,5712.96,5717.9
0.65,49,1.61,80,8.6,4.35,5.03,2.44,100716.03,5570.16,5577.29
0.65,59,1.61,97,7,4.02,7.08,1.5,115702.08,5522.9,5528.03
0.65,44,1.62,71,19.33,3.05,24.02,7.09,71103.02,5586.25,5603.63
0.65,55,1.62,88,4.84,3.74,41.02,1.18,191344.02,5560.04,5565.3
0.65,29,1.63,46,9.29,8.2,6.07,5.49,72401.07,5561,5568.4
0.65,36,1.63,57,3.3,2.03,14.01,2.56,162601.01,5582,5586.34
0.65,50,1.63,79,3.01,4,7.02,2.01,123417.02,5641.38,5644.94
0.65,25,1.64,39,18.01,3.04,4.1,6,64019.1,5468.05,5478.5
0.65,28,1.64,44,12.04,11.05,3,7.9,13036,5472.09,5484.04
0.65,30,1.64,47,16.01,3.03,27.1,4.7,205458.1,5364.5,5372.7
0.65,42,1.64,66,4.47,0.38,52.02,2.01,145532.02,5598.09,5603.5
0.65,48,1.64,75,8.1,4.7,1.8,4.4,50404.8,5633.08,5639.03
0.65,57,1.64,89,7,5.9,4.04,3.4,11502.04,5644.7,5652.3
0.65,58,1.64,90,4.3,2.04,33.02,1.65,153104.02,5601.26,5605.7
0.65,71,1.64,111,5.29,0.18,27.03,1.07,155104.03,5632.84,5636.4
0.65,28,1.65,43,20,4.8,6.09,6.01,232838.09,5448.02,5467.3
0.65,28,1.65,43,18.5,2.9,13.4,4.5,2351.4,5452.06,5470.01
0.65,31,1.65,48,8.1,11.2,4.9,6.02,21315.9,5474.06,5486.7
0.65,63,1.65,97,6.63,2.9,26.02,1.75,201323.02,5474.58,5480.01
0.65,68,1.65,104,6.45,0.57,140.03,4.17,135126.03,5402.55,5410
0.65,112,1.65,173,5.7,1.79,23.05,1.01,200942.05,5495.67,5500.4
0.65,27,1.66,41,4.56,1.04,59.02,1,135321.02,5644.26,5648.36
0.65,27,1.66,41,19.06,2.05,8.8,4.5,221025.8,5549.6,5560.07
0.65,31,1.66,47,4.44,3.87,50.02,1.94,160755.02,5569.87,5575.96
0.65,39,1.66,59,4.36,0.43,41.01,2.15,145456.01,5598.46,5603.37
0.65,40,1.66,61,5.02,8.08,23.08,3.9,201230.08,5437.01,5446.8
0.65,26,1.67,39,4.87,2.55,43.02,1.7,171733.02,5449.05,5454.98
0.65,29,1.67,43,6.06,3.02,6.2,3.8,120814.2,5516.5,5525.01
0.65,30,1.67,45,5.02,6.03,3.1,6.01,54104.1,5586.08,5594.04
0.65,34,1.67,51,6.07,2.8,3.08,2.29,2309.08,5614,5619.06
0.65,43,1.67,64,11.78,6.9,6.03,1.5,84621.03,5553.27,5561.4
0.65,48,1.67,72,4.4,4.76,27.03,2.48,130433.03,5544.37,5548.9
0.65,170,1.67,255,5.3,1.02,4.7,1.04,202943.7,5713.3,5718.3
0.65,52,1.68,77,5.77,1.34,23.03,1.02,172341.03,5608.99,5612.94
0.65,38,1.69,55,3.47,2.5,17.04,1.6,181714.04,5613,5617.4
0.65,59,1.69,86,3.8,1.3,52.03,2,191204.03,5465.68,5472.14
0.65,30,1.7,43,13.04,6.04,3.07,4.09,34525.07,5582.5,5593.7
0.65,32,1.7,46,6,2.02,2.7,1.3,14358.7,5632.09,5635.2
0.65,40,1.7,57,3.01,3.7,17.02,1.4,131725.02,5545,5549.5
0.65,81,1.7,116,1.8,1.5,6.04,1.6,202023.04,5618.02,5620.45
0.65,29,1.71,41,6.03,2.89,66.06,2.19,193753.06,5465.37,5471.9
0.65,40,1.71,56,3.1,1.63,87.01,0.6,133838.01,5689.76,5693.12
0.65,48,1.71,68,3.86,2,23.02,2.26,184501.02,5687.35,5691.48
0.65,57,1.71,80,3.6,1.77,25.03,0.97,172151.03,5518.98,5524.49
0.65,66,1.71,93,7.05,3.4,45.08,3.3,125549.08,5468.6,5476.02
0.65,33,1.72,46,10,5.02,6.07,2.8,80919.07,5590,5600.8
0.65,61,1.72,85,5.7,1.77,10.04,4,120445.04,5412.9,5421.37
