WinRate,ImbVolume,ImbRatio,AdvDetection,PATIMachineLearningInputsV2-P1-BollingerDiff,PATIMachineLearningInputsV2-P1-MovingAvgDiff,PATIMachineLearningInputsV2-P1-VolumeSpeedPerSecond,PATIMachineLearningInputsV2-P1-StdDevBB,PATIMachineLearningInputsV2-P1-TimeOfDay,ReverseStrength-P2-ReverseStrengthLine,ReverseStrength-P3-ReverseStrengthLine
0.65,32,2,32,41.77,8.23,42.02,9.36,195819.02,19114.4,19153.1
0.65,33,2,33,29.7,1.04,10.3,7.06,190149.3,20641.05,20676.6
0.65,33,2,33,25.87,17.4,14.01,11.45,184347.01,19487.16,19527.75
0.65,35,2,35,28.01,10.96,11.01,10.83,202232.01,19223.12,19258.9
0.65,39,2,39,64.02,8.19,14.07,11,200957.07,20418.7,20453.02
0.65,26,2.04,25,34.03,9.09,23.6,7.08,200200.6,20612.07,20641.05
0.65,26,2.04,25,38.05,14.03,12.08,11.6,171644.08,20606.01,20642.5
0.65,27,2.04,26,36.18,3.85,29.02,13.43,152450.02,19195.09,19231.5
0.65,27,2.04,26,33.65,18.76,17.03,8.6,194333.03,19126.65,19164.37
0.65,27,2.04,26,17.4,0.97,14.04,6.9,190829.04,18888.77,18919.78
0.65,60,2.05,57,28.67,11.6,14.05,16.48,185717.05,20436.2,20467.9
0.65,33,2.06,31,22.01,5.09,44.05,15.59,133622.05,19253.02,19286.4
0.65,26,2.08,24,47.56,28.5,36.03,10.7,140822.03,20133.6,20174.03
0.65,27,2.08,25,19.64,17.7,84.02,9.75,144749.02,20641.89,20673.83
0.65,27,2.08,25,38.08,13.58,38.04,12.69,160413.04,19779.66,19813.02
0.65,49,2.11,44,27.78,22.63,44.02,14.9,135719.02,20477.15,20518.96
0.65,28,2.12,25,28.06,2.08,25.02,6.3,143202.02,20118.2,20151.87
0.65,29,2.12,26,49.8,7.2,29.06,8.29,160750.06,19777.7,19815.98
0.65,29,2.12,26,47.09,10.69,67.02,7.9,144210.02,19789.56,19825
0.65,46,2.12,41,25.58,3.03,58.05,8.6,142518.05,20126.01,20159.97
0.65,42,2.14,37,42.97,4.68,42.02,8.85,151839.02,20091.25,20126.74
0.65,48,2.14,42,30.8,15.03,19.3,8,153146.3,20538.06,20568.5
0.65,31,2.15,27,25.2,0.8,23.04,7,144359.04,20741.7,20772.6
0.65,27,2.17,23,13.01,17.02,8.3,10.8,155727.3,19156,19188
0.65,28,2.17,24,21.04,6.8,16.07,10.6,192955.07,20025.3,20056.01
0.65,28,2.17,24,36.5,18.01,2.09,12.03,11350.09,19934.01,19971.03
0.65,34,2.17,29,38.4,18.96,16.03,11.8,200601.03,20880.45,20916.84
0.65,34,2.17,29,18.94,9.01,20.02,8.9,180615.02,20013.48,20047.44
0.65,49,2.17,42,35.02,21.04,18.1,9.7,145525.1,20693.04,20729.05
0.65,49,2.17,42,55,7.3,2.08,14,104846.08,18682.3,18719.01
0.65,25,2.19,21,33.67,8.59,11.02,5.54,180649.02,19952.98,19986.01
0.65,25,2.19,21,14.6,11.7,9.06,6.28,181723.06,19964.05,19995.7
0.65,38,2.19,32,47,28.3,24.08,7.4,151224.08,20627.05,20661.9
0.65,30,2.2,25,25.07,7.79,20.03,8.77,143105.03,20754.05,20782.17
0.65,54,2.2,45,20.48,13.3,74.07,6.2,133357.07,19839.98,19873.01
0.65,35,2.21,29,17.88,13.49,3.02,10.06,113811.02,20601.44,20635.73
0.65,28,2.22,23,23.3,17.03,6,10.5,123546,20088.2,20123.08
0.65,26,2.24,21,16.09,15.5,3.04,17.8,1751.04,20035.4,20069.07
0.65,46,2.24,37,14.9,13.04,25.2,9.05,185224.2,20688.09,20718.02
0.65,25,2.25,20,41.58,18.2,4.03,14.77,82553.03,20548.8,20582.88
0.65,45,2.25,36,23.53,3.86,23.02,5.04,200343.02,19869.08,19903.48
0.65,28,2.27,22,28.09,2.7,2.9,8.06,114012.9,19160.08,19196.3
0.65,26,2.3,20,22.02,9.74,6.02,10.43,201306.02,20580,20614.5
0.65,39,2.3,30,13.7,4.2,3.01,9.7,82957.01,20391.09,20424.5
0.65,38,2.31,29,28.3,23.44,108.03,7.01,152901.03,19823.06,19853.65
0.65,25,2.32,19,31.7,17.6,22.04,8.05,153124.04,20627.6,20659.39
0.65,25,2.32,19,47.8,22.08,3.03,6.3,45517.03,19062.6,19101.05
0.65,29,2.32,22,35.17,4.7,17.03,8.8,182131.03,20030.6,20067.67
0.65,45,2.32,34,22,5.08,44.04,15.58,133622.04,19253.01,19286.39
0.65,32,2.33,24,18.07,18.56,8.02,6.98,120446.02,20266.74,20300.73
0.65,76,2.33,57,57.8,7,35.04,11.58,170001.04,20495.86,20529.5
0.65,35,2.35,26,23.58,13.09,14.04,7.5,144940.04,20540.7,20575.01
0.65,26,2.37,19,23.06,17.14,11.02,7.7,190940.02,20457.04,20489.6
0.65,59,2.37,43,31.62,2.42,50.01,5.57,155231.01,19812.46,19849.72
0.65,29,2.38,21,57.13,1.63,18.01,8.58,150500.01,20524.7,20563.58
0.65,33,2.38,24,15.78,11.66,27.02,10.17,200059.02,20580.57,20612.36
0.65,44,2.38,32,22.38,8.9,33.05,5.9,143407.05,20492.66,20522.9
0.65,50,2.39,36,34.19,14.69,14.02,4.2,170638.02,19258.13,19296.6
0.65,28,2.4,20,32.95,21.4,22.02,9.37,164102.02,19853.5,19888.03
0.65,27,2.42,19,42.9,5.89,2.07,9.03,104529.07,19215.01,19252.9
0.65,26,2.44,18,25.23,8.32,13.01,5.96,120000.01,19135.38,19167.39
0.65,29,2.45,20,32.35,25.04,18.02,7.56,150519.02,20711.4,20747.56
0.65,32,2.45,22,22.44,16.5,87.03,9.49,145203.03,20631.49,20668.19
0.65,81,2.45,56,32.97,21.6,22.04,9.39,164102.04,19853.7,19888.05
0.65,38,2.46,26,26.07,10.28,15.02,13.5,164511.02,20503.5,20536.53
0.65,38,2.46,26,39.05,14.64,4.02,9.2,111753.02,19869.95,19909.08
0.65,28,2.47,19,76,27.9,39.08,15.19,150233.08,19067.06,19112.4
0.65,47,2.47,32,12.5,16.87,8.06,10.47,155727.06,19155.4,19187.49
0.65,34,2.48,23,22.56,15.13,23.01,7.32,140217.01,19334.4,19370.48
0.65,58,2.49,39,24,7.56,4.02,12.46,92159.02,19537.48,19574.56
0.65,57,2.5,38,33,9.8,9,7.06,123245,19897.04,19934.3
0.65,53,2.51,35,20.2,2.96,11.01,8.17,164716.01,20633.73,20667.09
0.65,48,2.55,31,57.9,15.8,22.05,10.6,125509.05,19182,19223
0.65,28,2.56,18,47.9,22.09,3.04,6.4,45517.04,19062.7,19101.06
0.65,33,2.57,21,30.03,4.1,3,14.2,93628,19198.2,19232.5
0.65,36,2.57,23,30.08,6,35.02,5.6,162922.02,19804.76,19840.3
0.65,66,2.57,42,15.29,9.01,6.07,12.04,131635.07,19195,19225.4
0.65,30,2.58,19,49.38,18.14,44.01,7.7,144547.01,19386.57,19426.1
0.65,27,2.59,17,33.98,12.5,34.02,12.59,190038.02,20435.7,20470.56
0.65,27,2.59,17,46.86,10.66,3.04,5.4,93824.04,18668.58,18705.9
0.65,32,2.6,20,17.02,10.57,10.04,9,190552.04,20687.18,20717.9
0.65,37,2.61,23,35.2,5,17.06,9.01,182131.06,20030.9,20067.7
0.65,26,2.62,16,18.99,2.9,9.06,6.5,173301.06,20501.01,20532.05
0.65,76,2.62,47,27.3,6.9,42.08,9.6,200101.08,19141.01,19176.03
0.65,44,2.63,27,17.09,25.58,93.02,10.14,133207.02,20735.98,20769.7
0.65,41,2.64,25,42.07,8.8,15.2,12.06,170133.2,20499.02,20533.07
0.65,38,2.65,23,20.3,13.57,19.03,5.2,164720.03,19943.09,19973.49
0.65,25,2.67,15,38.97,2.01,12.05,6.6,172653.05,19932.6,19965.69
0.65,35,2.67,21,17.45,11.4,21.02,10.26,200200.02,20581.6,20612.69
0.65,47,2.68,28,37.9,30.03,17.05,10.28,3225.05,19674.04,19706.08
0.65,80,2.7,47,30.01,19.4,36.05,9.6,163900.05,19839.28,19879.02
0.65,48,2.71,28,24.07,12,16.1,8.1,192118.1,20459,20494.03
0.65,26,2.73,15,25.8,42.39,5.04,26.02,222622.04,19802.01,19838.6
0.65,26,2.73,15,55.06,29.6,7.08,9.6,2617.08,19230.4,19273.03
0.65,38,2.73,22,15.2,3.8,2.04,10,33546.04,20392.8,20425.09
0.65,47,2.74,27,51.24,22.04,40.02,13.08,151330.02,18991.54,19023.16
0.65,100,2.75,57,26.03,8.2,2,5.4,223627,20661.04,20692.5
0.65,37,2.76,21,26.04,13.07,4.6,9.8,111645.6,20596.08,20629.2
0.65,39,2.77,22,35.4,24.6,15.02,8.02,162706.02,20582.6,20613.5
0.65,27,2.8,15,20.3,15.19,2.03,9.65,115615.03,19279.45,19312.66
0.65,29,2.81,16,43.8,20,80.04,10,153026.04,19252.4,19291.95
0.65,49,2.81,27,38.4,7.19,35.02,13.16,150810.02,20537.19,20574.76
0.65,31,2.82,17,35.01,24.03,14.09,7.09,162705.09,20582.03,20613.02
0.65,35,2.84,19,17.45,11.16,24.04,5.56,181346.04,19962,19993.6
0.65,57,2.84,31,30.01,11.01,12.05,4.77,152033.05,19454.5,19481.99
0.65,50,2.85,27,23.17,5.07,12.01,4.44,183551.01,20040.56,20071.27
0.65,63,2.85,34,34.09,17.8,2.5,8.06,85655.5,20690.9,20724.01
0.65,26,2.86,14,38.93,1.79,12.01,6.56,172653.01,19932.29,19965.65
0.65,26,2.86,14,25.99,2.6,8.02,12.97,171959.02,19300.27,19334.35
0.65,30,2.88,16,33.6,2,25.06,7.8,171442.06,18832.6,18871.02
0.65,49,2.88,26,48.24,16.27,8.02,15.88,125712.02,19190.06,19226.44
0.65,66,2.89,35,43.37,6.25,33.01,9.28,182222.01,20384.45,20426.54
0.65,38,2.9,20,28.57,0.7,9.05,4.6,161709.05,19450.86,19485.57
0.65,25,2.92,13,24.04,0.54,10.03,5.97,173751.03,20500.87,20530.3
0.65,25,2.92,13,30.29,7.4,9.02,8.34,110148.02,19220.05,19255.04
0.65,33,2.94,17,28.7,16.65,19.04,7.28,153520.04,19475.02,19504.01
0.65,28,3,14,18.4,3.54,17.02,14.75,163844.02,20632.95,20667.15
0.65,34,3,17,21.66,6.15,4.04,2.3,202147.04,18535.97,18568.03
0.65,36,3,18,36.59,5.9,28.03,9.25,195814.03,19210,19248.14
0.65,42,3,21,31.7,3.58,17.07,9.7,183108.07,19167.7,19204.29
0.65,50,3,25,28.6,17.1,4.3,9.09,80518.3,20687.8,20721
0.65,65,3.03,32,26.7,5.62,21.01,14.2,142705.01,19425.85,19456.47
0.65,41,3.05,20,24.9,9.28,39.02,12.01,170511.02,20504.57,20536.18
0.65,41,3.05,20,28.87,12.7,3.04,13.39,61334.04,19618.02,19650.45
0.65,31,3.07,15,45.9,10.57,52.01,13.5,150858.01,20541.2,20584.12
0.65,25,3.08,12,36,9.99,24.03,13.25,143726.03,19937.96,19977.02
0.65,25,3.08,12,49.7,6,3.08,19.7,71525.08,19604.5,19640.7
0.65,50,3.08,24,25.02,9.56,35.04,13.77,161123.04,19194.68,19226.56
0.65,40,3.11,19,28.1,25.47,14.02,7.76,172641.02,18996.47,19029.97
0.65,34,3.12,16,41.03,14.05,17.01,9.12,193953.01,18973.08,19009.5
0.65,32,3.13,15,38.06,4.01,2.06,11,231409.06,20420,20454.9
0.65,41,3.16,19,23.7,1.39,36.02,5.96,173630.02,20501.46,20532.37
0.65,54,3.16,25,27.62,9.69,19.01,5.46,151715.01,19448.96,19478.8
0.65,69,3.16,32,33.9,10.01,16.09,8.7,172320.09,20573.09,20607.9
0.65,26,3.17,12,20.02,4.5,26.05,4.37,145844.05,20536.5,20569.97
0.65,26,3.17,12,46.66,8.59,28.01,8.52,165340.01,20010.94,20045.38
0.65,26,3.17,12,17.9,19,2.09,14.02,101133.09,19932.05,19967.09
0.65,26,3.17,12,21.01,2.03,20.07,7.02,174720.07,19938.02,19971.02
0.65,52,3.17,24,23.98,15.64,33.01,7.87,191302.01,20457.86,20493.69
0.65,37,3.18,17,42.98,4,38.06,7.8,152319.06,18431.4,18468.7
0.65,46,3.19,21,25.53,13.86,34.01,7.34,151636.01,20526.25,20558.16
0.65,33,3.2,15,26.9,3.15,21.03,6.24,190717.03,19206.2,19237.88
0.65,31,3.21,14,16.75,13.5,24.04,6.7,140709.04,20631.6,20666.6
0.65,42,3.21,19,51.01,3.6,30.07,10.8,164951.07,20473.7,20512.9
0.65,25,3.27,11,40.01,16.01,25.05,7.68,163242.05,19330.05,19363.3
0.65,34,3.27,15,24.9,14.6,11.08,11.5,154836.08,20631.6,20664.6
0.65,46,3.3,20,42.2,21.4,4.04,12.6,220938.04,19909.3,19957.9
0.65,37,3.31,16,33.07,16.4,15.02,6.9,153727.02,20539.02,20574.2
0.65,28,3.33,12,55.2,31.03,13.02,8.34,75730.02,20368.01,20410.33
0.65,35,3.33,15,26.03,13.47,36.01,11.57,155233.01,20675.49,20712.19
0.65,63,3.33,27,55.02,32.04,5.4,18.05,235218.4,19003.02,19041.9
0.65,53,3.41,22,21.27,2.42,29.01,8.53,142308.01,20126.6,20159.68
0.65,65,3.41,27,25.02,10.56,1.03,15.4,225043.03,20021.05,20055.08
0.65,29,3.42,12,23.3,5.95,16.02,8.9,171958.02,18849.88,18881.75
0.65,78,3.44,32,25.09,10.9,1.1,16.01,225043.1,20021.3,20055.6
0.65,27,3.45,11,25.02,17.03,5.2,10.04,123913.2,20090.1,20123.02
0.65,37,3.47,15,21.89,26.86,19.02,10.49,172555.02,19259.27,19293.13
0.65,25,3.5,10,45.9,14.89,22.01,11.98,151510.01,20565.52,20601.82
0.65,68,3.52,27,23.03,27.01,36.3,8.01,151116.3,20720.03,20759.06
0.65,31,3.58,12,13.9,2.7,24.07,9.04,145636.07,19956.89,19991
0.65,39,3.6,15,21.19,6.9,19.02,9.6,200225.02,19143.01,19176.27
0.65,60,3.61,23,60.01,32,18.02,9.8,152252.02,20737.66,20776.69
0.65,29,3.64,11,37.58,1.86,21.02,9.03,195623.02,19216.67,19256.8
0.65,30,3.73,11,60.4,10.87,2.03,13.89,60203.03,20387.8,20425.3
0.65,33,3.75,12,53.02,21.03,2.6,15.05,231127.6,20662.07,20701.04
0.65,33,3.75,12,30.97,9.96,100.05,5.48,143939.05,19456.96,19490.3
0.65,36,3.77,13,37.9,2.44,23.03,8.37,141638.03,19197.03,19228.02
0.65,31,3.82,11,23.3,10.6,27.02,14.96,145431.02,20114.28,20147.83
0.65,26,3.89,9,30.7,14.02,17.07,7.3,163607.07,19327.02,19359
0.65,29,3.9,10,22.89,9.48,2.07,10.05,40245.07,19649.07,19680.9
0.65,41,3.93,14,18.9,3.59,17.07,14.8,163844.07,20633,20667.2
0.65,27,4,9,20.44,13.19,5.01,11.56,103358.01,19570.32,19605.3
0.65,30,4,10,36.4,2.88,40.06,10.7,165757.06,19301.59,19338.4
0.65,39,4,13,49.5,2.8,22.05,7.17,171659.05,20432.9,20469.03
0.65,34,4.09,11,31.29,5.37,15.02,5.25,175939.02,19946.08,19978.75
0.65,31,4.1,10,34.04,11.3,3.05,9.76,110339.05,20593.08,20626.03
0.65,28,4.11,9,26.9,7.5,12.05,3,185255.05,20018.59,20052.2
0.65,25,4.12,8,17.5,18.78,2.05,13.8,101133.05,19932.01,19967.05
0.65,50,4.12,16,34.7,23.9,14.05,7.05,162705.05,20581.9,20612.8
0.65,29,4.22,9,29.2,3.48,26.03,7.8,144641.03,20697.27,20731.77
0.65,26,4.25,8,27.02,26,7.03,6.86,114246.03,20269.56,20305.08
0.65,36,4.27,11,18.78,5.08,27.03,13.78,163733.03,20630.39,20662.58
0.65,36,4.27,11,31.67,8.07,14.04,6.35,171139.04,18825.28,18860.49
0.65,30,4.33,9,69.28,18.35,41.04,16.87,191350.04,19783.4,19828.6
0.65,34,4.4,10,33.05,12,1.06,12,63055.06,19779.9,19814.9
0.65,126,4.41,37,24.02,9.3,3.03,5.2,62829.03,19294.07,19325.04
0.65,31,4.44,9,27.79,5.03,10.04,8.8,182950.04,20035.3,20071.5
0.65,101,4.61,28,55.9,10.04,60.06,14.6,143454.06,20678.77,20718.58
0.65,26,4.71,7,39.26,21.03,3.05,7.5,115353.05,19861.68,19894.8
0.65,27,4.86,7,27.48,9.9,17.07,10.89,182239.07,20550.02,20579.09
0.65,31,4.88,8,25.09,9.7,34.05,6.66,160416.05,20060.2,20094.6
0.65,51,4.92,13,53.02,6.3,38.1,18.07,200058.1,20562.5,20594.03
0.65,41,5.1,10,21.32,29.89,9.01,10,171101.01,19950.88,19985.72
0.65,29,5.14,7,20.03,8.86,15.01,4.5,142143.01,20641.36,20679.65
0.65,42,5.2,10,31.5,1.04,23.06,12,175210.06,20031.1,20069.18
0.65,30,5.29,7,40.78,22.92,6.01,7.54,85937.01,20311.24,20345.69
0.65,36,5.5,8,25.07,5.04,18.6,7.06,192212.6,19957,19991.3
0.65,32,5.57,7,45.6,8.07,18.06,8.7,165537.06,19083.9,19116.8
0.65,43,5.78,9,18.04,8.8,8.3,11.02,190651.3,20590.06,20627.01
0.66,56,1.25,220,27.5,7.01,42.1,9.8,200101.1,19141.03,19176.05
0.66,43,1.31,138,49.4,13.03,5.8,15.09,203849.8,20572.2,20611.09
0.66,36,1.34,105,27.6,7.02,42.2,9.9,200101.2,19141.04,19176.06
0.66,55,1.38,143,42.99,31.87,66.01,16.82,140034.01,20504.26,20547.73
